Наименование водного объекта;Код водного объекта_x;Наименование поста;Код поста;Расстояние от устья, км;Площадь водосбора, кв.км.;Высота, м;Система высот;ОТКРЫТИЕ;Закрыт;Принадлежность поста;Latitude;Longitude
Туманная (Цыгъяврйок);02010000812101000003874 / 101000387;р.Туманная - пос.Туманный;71146;4.2;127;104;БС;11.05.1963;Действует;Мурманское УГМС;68.88583;35.69025
УССУРИ;20030700212118100051424 / 118105142;р.Уссури - с.Новомихайловка;5092;734;5170;221.55;БС 77;14.05.1963;Действует;Приморское УГМС;44.25042;133.83502
Буя;20040000112118200002196 / 118200219;р.Буя - ст.Тумнин;5673;0.6;31;57.28;БС 77;25.05.1963;Действует;Дальневосточное УГМС;49.64;140.08
Кирга;20030600112118100051213 / 118105121;р.Кирга - ст.Кирга;5081;5.5;92.9;90.18;БС 77;28.05.1963;Действует;Дальневосточное УГМС;48.88289;132.84108
;;ВДХР ШЕКСНИНСКОЕ - Г. БЕЛОЗЕРСК;3800219;;19400;109.72;БС;01.06.1963;Действует;Северное УГМС;60.03;37.78
;;ВДХР ШЕКСНИНСКОЕ - С. КРОХИНО;3800227;;19400;108.03;БС;01.06.1963;Действует;Северное УГМС;60.06;38.06
;;ВДХР ШЕКСНИНСКОЕ - С. ИВАНОВ БОР;3800235;;19400;106.86;БС;01.06.1963;Действует;Северное УГМС;59.76;38.25
Куность;08010200312110000008698 / 110000869;р.Куность - д.Ростани;75202;20;1160;122.9;БС;18.06.1963;Действует;Северное УГМС;59.92222;37.70987
Киран (Хиранг-гол);16030000212116300012140 / 116301214;р.Киран - с.Усть-Киран;7091;2.5;1130;581.68;БС;19.06.1963;Действует;Забайкальское УГМС;50.41091;106.80864
Карповка;20030100112118100010796 / 118101079;р.Карповка - с.Карповка;6162;2.1;123;684.95;БС 77;22.06.1963;Действует;Забайкальское УГМС;52.20127;113.53206
;;ОЗ. АЗАС - З. АЗАС;2700027;;2760;45;усл.;01.07.1963;Действует;Среднесибирское УГМС;52.4;96.45
Дубчес (Бол. Дубчес);17010400212116100032349 / 116103234;р.Дубчес - факт.Сандакчес;9385;156;8360;65.75;БС 77;07.07.1963;Действует;Среднесибирское УГМС;61.3;88.48
Индоманка (Большая Индоманка);08010200312110000009190 / 110000919;р.Индоманка - д.Малеево;75211;26;831;135.1;БС;14.07.1963;Действует;Северное УГМС;60.65881;38.0038
Сямжена (Сямшенга);03020100112103000005689 / 103000568;р.Сямжена - с.Сямжа;70120;21;1700;131.18;БС 77;17.07.1963;Действует;Северное УГМС;60.0174;41.07818
Пярдомля;01040300112102000018150 / 102001815;Р.ПЯРДOMЛЯ - Д.КOНДРATOВO;72179;12;129;76.36;БС;23.07.1963;Действует;Северо-Западное УГМС;59.45916;33.85738
Ир;14010300212115300011521 / 115301152;р. Ир - д. Красный Яр;11473;44;656;42;усл.;27.07.1963;Действует;Обь-Иртышское УГМС;56.38;71.03
Тея;17010500312116100050073 / 116105007;р.Тея - пгт Тея;9397;136;2910;198.8;БС 77;30.07.1963;Действует;Среднесибирское УГМС;60.36;92.5
;;ВДХР КУЙБЫШЕВСКОЕ - Д. ТАШКИРМЕНЬ;3500315;;1210000;45;БС;30.07.1963;Действует;УГМС Республики Татарстан;55.3;49.38
Б.БУЗИМ;17010300512116100024023 / 116102402;р.Бузим - с.Малиновка;9356;23;2230;124.36;БС 77;06.08.1963;Действует;Среднесибирское УГМС;56.6;93.48
АРТЫНКА;14010100312115300005341 / 115300534;р. Артынка - с. Костино;11345;20;405;40;усл.;09.08.1963;Действует;Обь-Иртышское УГМС;56.16;74.96
Комиссаровка;20050000212118300005871 / 118300587;р. Комиссаровка - с. Чапаево;4105;13;122;22.24;БС;10.08.1963;Действует;Сахалинское УГМС;46.78537;142.93998
ТОМЬ;13010300412115200007313 / 115200731;Р.ТОМЬ - Г.ТОМСК;10251;75;57000;69.98;БС 77;15.08.1963;Действует;Западно-Сибирское УГМС;56.44555;84.95904
Нижняя Тунгуска;17010700112116100061570 / 116106157;р.Нижняя Тунгуска - д.Верхнекарелина;9403;2768;4160;44.8;усл.;16.08.1963;Действует;Иркутское УГМС;57.87;107.83
ЧЕЧЕНЕК;13010100112199000000060 / 115102035;Р.ЧЕЧЕНЕК - ПОС.ЯЙЛЮ;10058;0.2;14.8;440;БС;19.08.1963;Действует;Западно-Сибирское УГМС;51.76987;87.59987
Чири;13010100112115100001470 / 115100147;Р.ЧИРИ - КЫГИНСКИЙ ЗАЛИВ;10060;0.5;37;464.93;БС 77;21.08.1963;Действует;Западно-Сибирское УГМС;51.36646;87.8403
Тумба;08010200312110000008926 / 110000892;р.Тумба - с.Тумбаж;75206;33;288;135.12;БС;24.08.1963;Действует;Северное УГМС;60.58347;36.81458
;;ОЗ. БОЛ.ЯРОВОЕ - Г. ЯРОВОЕ;2000207;;1210;73.36;БС;25.08.1963;Действует;Западно-Сибирское УГМС;52.92;78.59
Нея;08010400112110000041950 / 110004195;р.Нея - пгт Поназырево;75684;66;700;107.5;БС;26.08.1963;Действует;Центральное УГМС;58.34452;46.32306
;;ВДХР НИЖНЕ-ТУЛОМСКОЕ - С. ПАДУН;3100143;;21500;14;БС;14.09.1963;Действует;Мурманское УГМС;68.6;31.85
Красная;19070000212120000023190 / 120002319;р.Красная - пос.Краснореченск;2111;14;11.4;26.99;абс.;17.09.1963;Действует;Камчатское УГМС;53.15;158.46
;;ОЗ. АЛЬМЕНЬКОЛЬ - С. АЛЬМЕНЕВО;4500421;;83;170.29;БС 77;19.09.1963;Действует;Уральское УГМС;54.95;63.57
ЧУМЫШ;13010200412115200001671 / 115200167;Р.ЧУМЫШ - С.КЫТМАНОВО;10175;352;11000;170.01;БС 77;23.09.1963;Действует;Западно-Сибирское УГМС;53.4656;85.45606
;;ВДХР ВОЛГОГРАДСКОЕ - Г. МАРКС;3500918;;1360000;10;БС;26.09.1963;Действует;Приволжское УГМС;51.72;46.25
Бугарихта;18030400112117200012110 / 117201211;р.Бугарихта - с.Тупик;3171;2.9;1130;628.13;БС 77;01.10.1963;Действует;Забайкальское УГМС;54.41;119.93
Новикова;20050000212118300005963 / 118300596;р. Новикова - с. Новиково;4107;1.4;30.7;4.71;БС;15.10.1963;Действует;Сахалинское УГМС;46.36583;143.36604
Иска (Бол. Иска);20030900312119000169229 / 119016922;р.Иска(Большая Иска) - с.Власьево;1576;5.5;635;2.51;БС 77;16.10.1963;Действует;Дальневосточное УГМС;53.4265;140.89609
Красная;20050000212118300000999 / 118300099;р. Красная - с. Ясное;4036;4.2;194;95;усл.;16.10.1963;Действует;Сахалинское УГМС;50.63;142.7
Уржумка;10010300512111100038224 / 111103822;P.УPЖУMKA - C.ЛOПЬЯЛ;76628;45;1300;78.41;БС;01.11.1963;Действует;Верхне-Волжское УГМС;56.96354;49.98193
Матур;17010300212116100013716 / 116101371;р.Матур - пос.Матур;9215;15;383;555.75;БС;01.11.1963;Действует;Среднесибирское УГМС;52.63636;89.45204
Сить;03020100112103000005894 / 103000589;р.Сить - д.Козлиха;70121;21;1540;123.49;БС;20.11.1963;Действует;Северное УГМС;60.10807;40.02287
Бол. Кочмес;03050200112103000068477 / 103006847;р. Большой Кочмес - пос.Кочмес;70486;87;981;61.06;БС 77;24.11.1963;Действует;Северное УГМС;66.18707;60.77772
Сереж;13010400112115200015095 / 115201518;р.Сереж - д.Корнилово;10342;229;1600;300.68;БС;28.11.1963;Действует;Среднесибирское УГМС;55.55725;89.6369
Носка;14010700112115300013142 / 115301314;р. Носка - с. Лайтамак;11502;206;6780;44;усл.;01.12.1963;Действует;Обь-Иртышское УГМС;58.4;67.45
;;ОЗ. БАЙКАЛ - Р. П. КУЛТУК;2200218;;571000;453.27;БС;15.12.1963;Действует;Иркутское УГМС;51.71;103.7
ТАНГНАРЫ;18030800612117400027528 / 117402752;р.Тангнары - с.Чай;3390;64;5760;99.18;БС 77;01.01.1964;Действует;Якутское УГМС;63.81;123.56
Баксан (Азау);07020000712108200004482 / 108200448;р.Баксан - г.Тырныауз;84213;127;838;1281.25;БС 77;01.01.1964;Действует;Северо-Кавказское УГМС;43.38;42.91
;;ОЗ. БАЙКАЛ - Р. П. ХУЖИР;2200269;;571000;453.27;БС;01.01.1964;Действует;Иркутское УГМС;51.86;104.81
Ускут (б.Карасубазарская, Ускуют;21010000512106300001290 / 106300129;р. Ускут - с. Приветное;81686;3.2;42.3;54.61;БС 77;01.03.1964;Действует;Крымское УГМС;44.82;34.67
Урулюнгуй;20030200112118100000114 / 118100011;р.Урулюнгуй - ст.Маргуцек;6046;156;3540;622.14;БС 77;08.04.1964;Действует;Забайкальское УГМС;50.40842;117.89101
СУДОГДА;09010300912110000032790 / 110003279;р.Судогда - г.Судогда;75579;37;963;95.68;БС;09.04.1964;Действует;Центральное УГМС;55.96463;40.86968
;;ВДХР ВОТКИНСКОЕ - Г. ОХАНСК;4500255;;182000;80;БС;18.04.1964;Действует;Уральское УГМС;57.72;55.38
;;ВДХР БРАТСКОЕ - ПОС. БЫКОВО;2200348;;736000;392;БС;01.05.1964;Действует;Иркутское УГМС;53.51;103.33
;;ВДХР ВОТКИНСКОЕ - Г. ПЕРМЬ;4500220;;182000;80;БС;04.05.1964;Действует;Уральское УГМС;58.02;56.25
;;ВДХР ВОТКИНСКОЕ - Г. ПЕРМЬ (НИЖНЯЯ КУРЬЯ);4500239;;182000;80;БС;04.05.1964;Действует;Уральское УГМС;58.02;56.03
;;ВДХР ВОТКИНСКОЕ - Г. КРАСНОКАМСК;4500247;;182000;80;БС;04.05.1964;Действует;Уральское УГМС;58.08;55.72
Терек (Старый Терек);07020001012108200002513 / 108200251;р.Терек - с. Виноградное;84127;188;23200;42.8;БС;16.05.1964;Действует;Северо-Кавказское УГМС;43.46;45.86
руч. Быстрый;19080000212220000025082 / 120005635;руч.Быстрый - пос.Паужетка;2131;2.2;2.86;5;усл.;04.06.1964;Действует;Камчатское УГМС;51.46;156.81
Аввакумовка;20040000212118200007961 / 118200796;р.Аввакумовка - пос.Молдавановка;5529;41;909;79.17;БС 77;10.06.1964;Действует;Приморское УГМС;43.8588;134.86568
Ималка (Ималхоин-гол);20030120012118100089265 / 118108926;р.Ималка - свх Красная Ималка;6529;6;1270;608.55;БС 77;16.06.1964;Действует;Забайкальское УГМС;50.09923;115.34389
Ульдза-гол;20030120012118100089036 / 118108903;р.Ульдза-Гол - с.Соловьевск;6528;16;22300;606.34;БС 77;18.06.1964;Действует;Забайкальское УГМС;49.87967;115.70025
Муя;18030200312117100028222 / 117102822;р.Муя - с.Таксимо;3135;72;9900;498.13;БС 77;25.06.1964;Действует;Забайкальское УГМС;56.36132;114.86252
Кома;17010300312116100018857 / 116101885;р.Кома - с.Чёрная Кома;9304;1;504;246.47;БС 77;26.06.1964;Действует;Среднесибирское УГМС;54.9;91.15
Сысола;03020200112103000018563 / 103001856;р. Сысола - пос.Первомайский;70221;138;11700;88.15;БС;17.07.1964;Действует;Северное УГМС;61.1104;50.29223
Амыл;17010300312116100017010 / 116101701;р.Амыл - с.Верхний Кужебар;9279;85;5270;337.37;БС 77;20.07.1964;Действует;Среднесибирское УГМС;53.33;93.06
Серта (Юж. Серта);13010400212115200018569 / 115201856;Р.СЕРТА - С.КУРСК-СМОЛЕНКА;10394;17;1720;144.17;БС 77;06.08.1964;Действует;Западно-Сибирское УГМС;55.96108;88.10385
Пинега;03020300312103000034650 / 103003465;р.Пинега - пос.Северный;70329;536;10200;78.8;БС 77;12.08.1964;Действует;Северное УГМС;63;46.78
;;ОЗ. ЛЕКШМ-ОЗЕРО - С. ОРЛОВО;3800113;;197;154.51;БС 77;26.08.1964;Действует;Северное УГМС;61.71;38.05
Серта (Юж. Серта);13010400212115200018569 / 115201856;Р.СЕРТА - С.ТРЕТЬЯКОВО;10392;63;792;177.52;БС;27.08.1964;Действует;Западно-Сибирское УГМС;55.79679;88.43766
Силинка (Левая Силинка);20030900212118100074724 / 118107472;р.Силинка - г.Солнечный;5420;41;212;279.6;БС 77;28.08.1964;Действует;Дальневосточное УГМС;50.71346;136.65762
Кучук-Узенбаш;21010000212106300000700 / 106300070;р. Кучук-Узенбаш - с. Многоречье;81600;2.8;10;464.2;БС 77;17.09.1964;Действует;Крымское УГМС;44.55;34.07
Кучук-Узенбаш;21010000212106300000700 / 106300451;приток р. Кучук-Узенбаш - с. Многоречье;81602;0.16;;473.57;БС;17.09.1964;Действует;Крымское УГМС;44.55;34.07
Правая Камчатка;19070000112120000012737 / 120001273;р.Правая Камчатка - уроч.Бугры;2026;0.4;218;6;усл.;21.09.1964;Действует;Камчатское УГМС;54.08;157.86
БАЗА;10010201612111100026329 / 111102632;р.База - с.Рсаево;76499;64;885;92.59;БС;22.09.1964;Действует;Башкирское УГМС;55.3572;54.36436
Тарсьма;13010200612115200005974 / 115200597;Р.ТАРСЬМА - С.ОКУНЕВО;10225;6;1800;147.68;БС 77;07.10.1964;Действует;Западно-Сибирское УГМС;54.95;85.45
Тюлюк;10010201112111100023149 / 111102314;р. ТЮЛЮК - с. ТЮЛЮК;76470;3;136;558.23;БС;12.10.1964;Действует;Уральское УГМС;54.61543;58.77063
